pidx,jhno,pno,url,status,name,yomi,spot
39,3,6,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/270/,市指定文化財（古文書）,前田利長公御親書,,富山県高岡市
40,3,7,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/272/,重要有形民俗文化財,高岡御車山,たかおかみくるまやま,富山県高岡市
41,3,8,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/274/,重要無形民俗文化財,高岡御車山祭の御車山行事,たかおかみくるまやままつりのみくるまやまぎょうじ,富山県高岡市
42,3,9,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/276/,未指定,与四兵衛顕彰碑（弥眞進大人命旧跡）,,富山県高岡市
43,3,10,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/278/,市指定文化財（古文書）,明和八年製高岡町図,,富山県高岡市
44,3,11,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/280/,重要伝統的建造物群保存地区,山町筋重要伝統的建造物群保存地区,やまちょうすじじゅうようでんとうてきけんぞうぶつぐんほぞんちく,富山県高岡市
45,3,12,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/282/,重要文化財（建造物）,菅野家住宅,すがのけじゅうたく,富山県高岡市
46,3,13,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/284/,県指定文化財（建造物）,筏井家住宅,いかだいけじゅうたく,富山県高岡市
47,3,14,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/286/,市指定文化財（建造物）,土蔵造りのまち資料館（旧室崎家住宅）,,富山県高岡市
48,3,15,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/288/,重要伝統的建造物群保存地区,金屋町重要伝統的建造物群保存地区,かなやまちじゅうようでんとうてきけんぞうぶつぐんほぞんちく,富山県高岡市
49,3,16,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/290/,市指定文化財（古文書）,仁安の御綸旨,にんあんのごりんじ,富山県高岡市
50,3,17,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/292/,市指定文化財（古文書）,前田利長書状,,富山県高岡市
51,3,18,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/294/,登録文化財（建造物）,有礒正八幡宮（本殿・釣殿・拝殿及び弊殿）,ありそしょうはちまんぐう【ほんでん・つりどの・はいでん・へいでん】,富山県高岡市
52,3,19,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/296/,市指定文化財（彫刻）,銅造阿弥陀如来坐像,どうぞうあみだにょらいざぞう,富山県高岡市
53,3,20,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/298/,登録有形民俗文化財,高岡鋳物の製作用具及び製品,たかおかいもののせいさくようぐおよびせいひん,富山県高岡市
54,3,21,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/300/,未指定,御印祭,ごいんさい,富山県高岡市
55,3,22,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/302/,登録文化財（建造物）,旧南部鋳造所キュポラ及び煙突,きゅうなんぶちゅうぞうじょきゅぽらおよびえんとつ,富山県高岡市
56,3,23,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/304/,市指定有形民俗文化財,梵鐘龍頭木型,,富山県高岡市
57,3,24,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/306/,市指定文化財（建造物）,戸出御旅屋の門,,富山県高岡市
58,3,25,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/308/,国宝・重要文化財（建造物）,勝興寺,しょうこうじ,富山県高岡市
59,3,26,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/310/,未指定,伏木港（伏木浦）,,富山県高岡市
60,3,27,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/312/,市指定文化財（建造物）,伏木北前船資料館（旧秋元家住宅）,,富山県高岡市
61,3,28,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/314/,登録文化財（建造物）,棚田家住宅,たなだけじゅうたく,富山県高岡市
62,3,29,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/316/,登録文化財（建造物）,能松家住宅,のうまつけじゅうたく,富山県高岡市
63,3,30,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/318/,登録文化財（建造物）,有藤家住宅,ありとうけじゅうたく,富山県高岡市
64,3,31,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/320/,登録文化財（建造物）,高岡商工会議所伏木支所,たかおかしょうこうかいぎしょふしきししょ,富山県高岡市
65,3,32,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/322/,登録文化財（建造物）,伏木気象資料館（旧伏木側候所庁舎・測風塔）,ふしききしょうしりょうかん（きゅうふしきそっこうじょちょうしゃ・そくふうとう）,富山県高岡市
66,3,33,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/324/,登録文化財（建造物）,丸谷家住宅,まるやけじゅうたく,富山県高岡市
67,3,34,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/326/,登録文化財（建造物）,佐野家住宅,さのけじゅうたく,富山県高岡市
68,3,35,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/328/,登録文化財（建造物）,清都酒造場,きよとしゅぞうじょう,富山県高岡市
69,3,36,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/330/,重要無形民俗文化財,越中福岡の菅笠製作技術,えっちゅうふくおかのすげがさせいさくぎじゅつ,富山県高岡市
70,3,37,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/332/,未指定(景観形成重点区域),菅笠問屋の町並み,,富山県高岡市
71,3,38,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/6500/,重要伝統的建造物群保存地区,吉久重要伝統的建造物群保存地区,よしひさじゅうようでんとうてきけんぞうぶつぐんほぞんちく,富山県高岡市
72,4,1,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/225/,県無形民俗,能登島向田の火祭,,石川県七尾市
73,4,2,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/227/,市無形民俗,六保納涼祭（六保のおすずみ祭り）,,石川県七尾市
74,4,3,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/229/,市無形民俗,塩津かがり火恋祭り（塩津のおすずみ祭り）,,石川県七尾市
75,4,4,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/231/,県天然記念物,唐島神社社叢タブ林,,石川県七尾市
76,4,5,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/389/,市無形民俗,新宮納涼祭（釶打のおすずみ祭り）,,石川県七尾市
77,4,6,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/391/,国重文,藤津比古神社（藤津比古神社本殿）,,石川県七尾市
78,4,7,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/393/,(未指定),祇園祭り,,石川県七尾市
79,4,8,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/396/,(未指定),石崎奉燈祭,,石川県七尾市
80,4,9,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/398/,市無形民俗,水無月祭り,,石川県輪島市
81,4,10,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/400/,(未指定),輪島大祭,,石川県輪島市
82,4,11,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/402/,市無形民俗,御神事太鼓,,石川県輪島市
83,4,12,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/404/,(未指定),名舟大祭,,石川県輪島市
84,4,13,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/406/,県無形民俗,御陣乗太鼓（輪島市名舟御陣乗太鼓）,,石川県輪島市
85,4,14,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/409/,市有形民俗,中島屋の大切籠,,石川県輪島市
86,4,15,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/411/,(未指定),曽々木大祭,,石川県輪島市
87,4,16,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/413/,国名勝・天然記念物,曽々木海岸,,石川県輪島市
88,4,17,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/415/,(未指定),寺家キリコまつり,,石川県珠洲市
89,4,18,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/417/,国天然,須須神社社叢,,石川県珠洲市
90,4,19,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/419/,(未指定),宝立七夕キリコ祭り,,石川県珠洲市
91,4,20,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/421/,(未指定),蛸島キリコ祭り,,石川県珠洲市
92,4,21,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/423/,県無形民俗,蛸島早船狂言,,石川県珠洲市
93,4,22,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/425/,(未指定),冨木八朔祭礼,,石川県志賀町
94,4,23,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/427/,(未指定),西海祭り,,石川県志賀町
95,4,24,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/429/,(未指定),沖波の大漁祭り,,石川県穴水町
96,4,25,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/431/,町無形民俗,恋路の火祭り,,石川県能登町
97,4,26,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/433/,県無形民俗,あばれ祭（宇出津のキリコ祭り）,,石川県能登町
98,4,27,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/435/,(未指定),柳田大祭,,石川県能登町
99,4,28,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/437/,(未指定),にわか祭,,石川県能登町
100,4,29,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/439/,(未指定),松波人形キリコ祭り,,石川県能登町
101,4,30,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/441/,記録作成等の措置を講ずべき無形の民俗文化財,能登のキリコ祭り,,石川県七尾市石川県輪島市石川県珠洲市石川県志賀町石川県穴水町石川県能登町
102,5,1,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/522/,国史跡　他,脇袋古墳群(上ノ塚古墳・西塚古墳・中塚古墳),わきぶくろこふんぐん,福井県若狭町
103,5,2,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/530/,国史跡　他,天徳寺古墳群(十善の森古墳),てんとくじこふんぐん,福井県若狭町
104,5,3,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/541/,国史跡　他,日笠古墳群(上船塚古墳・下船塚古墳),ひかさこふんぐん,福井県若狭町
105,5,4,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/545/,国史跡　他,岡津製塩遺跡,おこづせいえんいせき,福井県小浜市
106,5,5,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/548/,市史跡,白鬚神社古墳,,福井県小浜市
107,5,6,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/551/,町指定(石造物),道しるべ(日笠),,福井県若狭町
108,5,7,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/553/,町指定(石造物),道しるべ(三宅),,福井県若狭町
109,5,8,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/556/,国重伝建,熊川宿,くまがわじゅく,福井県若狭町
110,5,9,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/559/,国重文(建造物),倉見屋荻野家住宅,くらみやおぎのけじゅうたく,福井県若狭町
111,5,10,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/563/,町指定(建造物),旧逸見勘兵衛家住宅,,福井県若狭町
112,5,11,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/573/,町指定(建造物),熊川番所,,福井県若狭町
113,5,12,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/576/,未指定(史跡),得法寺,,福井県若狭町
114,5,13,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/578/,未指定(史跡),白石神社,,福井県若狭町
115,5,14,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/580/,未指定（史跡）,御蔵道,,福井県若狭町
116,5,15,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/582/,未指定（工芸技術）,熊川葛の製作技法,,福井県若狭町
117,5,16,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/584/,町指定（名勝）,瓜割の滝,,福井県若狭町
118,5,17,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/586/,国登録(建造物),三宅区火の見やぐら・火の見やぐら倉庫,みやけのひのみやぐら、ひのみやぐらそうこ,福井県若狭町
119,5,18,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/591/,未指定（建造物）,旧料亭酔月,,福井県小浜市
120,5,19,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/593/,未指定（建造物）,旧料亭蓬嶋楼,,福井県小浜市
121,5,20,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/595/,市指定（建造物）,旧旭座,,福井県小浜市
122,5,21,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/597/,国史跡,後瀬山城跡,のちせやまじょうあと,福井県小浜市
123,5,22,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/599/,未指定（史跡）,空印寺,,福井県小浜市
124,5,23,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/601/,県指定(建造物),旧古河屋別邸,,福井県小浜市
125,5,24,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/603/,国重文(歴史資料）,世界及日本図八曲屏風,せかいおよびにほんずはちきょくびょうぶ,福井県小浜市
126,5,25,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/605/,県指定(無形民俗),放生祭,,福井県小浜市
127,5,26,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/630/,市無形民俗,廣嶺神社の祇園祭,,福井県小浜市
128,5,27,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/632/,未指定(無形民俗),お城祭り（小浜神社）,,福井県小浜市
129,5,28,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/634/,国選択（無形民俗）,和久里壬生狂言,わくりみぶきょうげん,福井県小浜市
130,5,29,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/636/,県無形民俗,西津七年祭,,福井県小浜市
131,5,30,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/638/,国指定（伝統工芸）,若狭塗,,福井県小浜市
132,5,31,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/640/,国重文（建造物）,羽賀寺,はがじ,福井県小浜市
133,5,32,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/642/,未指定(史跡),本境寺,,福井県小浜市
134,5,33,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/644/,未指定(史跡),鯖街道(針畑越え),,福井県小浜市
135,5,34,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/646/,県指定（伝統的民家群保存活用推進地区）,遠敷の町並み,,福井県小浜市
136,5,35,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/648/,未指定,上根来集落,,福井県小浜市
137,5,36,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/650/,未指定（無形民俗）,お水送り,,福井県小浜市
138,5,37,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/652/,県有形(建造物),若狭彦神社(若狭国一宮・上社),,福井県小浜市
139,5,38,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/654/,県有形(建造物),若狭姫神社(旧遠敷神社・下社),,福井県小浜市
140,5,39,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/656/,国重文(彫刻),銅造薬師如来立像,りゅうぜんくどうぞうやくしにょらいりゅうぞう,福井県小浜市
141,5,40,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/658/,未指定(史跡),多田寺,,福井県小浜市
142,5,41,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/660/,国史跡,若狭国分寺,わかさこくぶんじ,福井県小浜市
143,5,42,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/662/,未指定(史跡),小浴神社,,福井県小浜市
144,5,43,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/664/,国重文（建造物）,若狭神宮寺,わかさじんぐうじ,福井県小浜市
145,5,44,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/666/,国指定（名勝）,萬徳寺,まんとくじ,福井県小浜市
146,5,45,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/668/,国宝,明通寺,みょうつうじ,福井県小浜市
147,5,46,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/670/,国重文（建造物）,妙楽寺,みょうらくじ,福井県小浜市
148,5,47,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/672/,未指定(史跡),圓照寺,,福井県小浜市
149,5,48,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/674/,国選択（県無形民俗）,宇波西神社の神事芸能（若狭の王の舞群）,うわせじんじゃのしんじげいのう,福井県若狭町
150,5,49,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/676/,県無形民俗,闇見神社例祭神事（若狭の王の舞群）,,福井県若狭町
151,5,50,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/678/,県無形民俗,天満社例祭神事（若狭の王の舞群）,,福井県若狭町
152,5,51,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/680/,県無形民俗,多由比神社の例祭神事（若狭の王の舞群）,,福井県若狭町
153,5,52,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/682/,県無形民俗,椎村神社の祭り,,福井県小浜市
154,5,53,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/684/,町無形民俗,石くら神社の王の舞（若狭の王の舞群）,,福井県若狭町
155,5,54,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/686/,町無形民俗,広嶺神社の祇園祭（若狭の王の舞群）,,福井県若狭町
156,5,55,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/688/,未指定,日枝神社の王の舞（若狭の王の舞群）,,福井県若狭町
157,5,56,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/690/,県無形民俗,国津神社の神事（若狭の王の舞群）,,福井県若狭町
158,5,57,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/692/,未指定,能登神社の王の舞（若狭の王の舞群）,,福井県若狭町
159,5,58,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/694/,未指定,天満宮の王の舞（若狭の王の舞群）,,福井県若狭町
160,5,59,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/696/,国選択（県無形民俗）,上中の六斎念仏（瓜生）,かみなかのろくさいねんぶつ（うりゅう）,福井県若狭町
161,5,60,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/698/,国選択（県無形民俗）,上中の六斎念仏（三宅）,かみなかのろくさいねんぶつ（みやけ）,福井県若狭町
162,5,61,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/701/,県指定(無形民俗),奈胡の六斎念仏,,福井県小浜市
163,5,62,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/703/,県指定(無形民俗),奥窪谷の六斎念仏,,福井県小浜市
164,5,63,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/705/,未指定(無形民俗),地蔵盆,,福井県小浜市
165,5,64,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/707/,市無形民俗,中名田地区の松上げ,,福井県小浜市
166,5,65,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/709/,市無形民俗,口名田地区の松上げ,,福井県小浜市
167,5,66,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/711/,国指定（名勝）,三方五湖,みかたごこ,福井県美浜町福井県若狭町
168,5,67,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/713/,市無形（工芸技術）,へしこ、なれずしの製作技法,,福井県小浜市
169,6,1,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/715/,国史跡,岐阜城跡,ぎふじょうあと,岐阜県岐阜市
170,6,2,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/717/,国重要文化的景観　重要な構成要素,岐阜城復興天守,ぎふじょうふっこうてんしゅ,岐阜県岐阜市
171,6,3,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/719/,市重要文化財,史跡岐阜城跡（織田信長居館跡）出土金箔飾り瓦,しせきぎふじょうあと（おだのぶながきょかんあと）しゅつどきんぱくかざりがわら,岐阜県岐阜市
172,6,4,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/721/,国重要無形民俗文化財,長良川の鵜飼漁の技術,ながらがわのうかいりょうのぎじゅつ,岐阜県岐阜市
173,6,5,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/723/,国重要無民俗文化有形,長良川鵜飼用具,ながらがわうかいようぐ,岐阜県岐阜市
174,6,6,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/725/,市無形民俗文化財,長良川鵜飼観覧船造船技術,ながらがわうかいかんらんせんぞうせんぎじゅつ,岐阜県岐阜市
175,6,7,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/727/,市無形民俗文化財,長良川鵜飼観覧船操船技術,ながらがわうかいかんらんせんそうせんぎじゅつ,岐阜県岐阜市
176,6,8,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/729/,市無形民俗文化財,鵜匠家に伝承する鮎鮓製造技術,うしょうけにでんしょうするあゆずしせいぞうぎじゅつ,岐阜県岐阜市
177,6,9,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/731/,未指定,長良川まつり・鮎供養,ながらがわまつり・あゆくよう,岐阜県岐阜市
178,6,10,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/733/,未指定,船上の遊宴文化,せんじょうのゆえんぶんか,岐阜県岐阜市
179,6,11,https://japan-heritage.bunka.go.jp/ja/culturalproperties/result/735/,国重要文化的景観　重要な構成要素,長良川中流域における岐阜の文化的景観,ながらがわちゅうりゅういきにおけるぎふのぶんかてきけいかん,岐阜県岐阜市
